HUC_8,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
05050002,31.0924,29.735,30.7498,27.7605,29.6791,28.6142,28.8393,24.5882,26.8198,34.2969,32.4409,27.6254,31.2337,27.4521,28.9067,29.3821,31.5268,26.1626,28.7887,28.4321,31.2451,29.042,29.2837,34.881,33.965,28.471,33.0751,26.3215,29.2725,33.5478,28.357,31.1772
05050003,30.1988,30.7951,31.0667,27.8434,32.3619,29.1602,29.2265,26.5466,26.8092,33.066,32.509,25.8285,29.2794,27.668,28.4017,29.5184,32.7658,27.5035,29.1417,27.0075,32.5846,28.019,29.4328,33.9793,31.4249,27.525,30.3369,28.3078,28.9089,32.35,28.2369,30.1166
05050004,31.624,32.3597,32.701,31.3177,32.5438,28.833,30.5473,25.7929,28.2944,33.5288,33.8285,27.5099,33.1908,28.7694,30.2302,29.4016,33.9973,29.6651,30.3973,28.0179,34.1807,30.2756,31.7373,35.2821,34.1386,29.9574,33.8274,28.7501,31.9633,33.9578,30.6714,31.9528
05050005,31.8121,34.1415,32.9966,31.1407,32.5495,29.9085,32.0432,28.1922,27.9733,33.2764,35.0188,28.1494,32.9554,29.4651,31.2121,30.0878,34.1404,31.0763,30.9085,28.2129,34.2633,30.385,31.952,34.0661,32.8416,29.7884,32.3088,30.7544,30.7808,32.3661,30.3107,33.2722
05050006,34.2456,33.7732,34.7451,32.1469,33.0385,29.4435,32.9721,29.3063,28.387,36.1848,37.3815,29.4956,35.3151,31.5498,32.491,32.1536,37.0068,33.3563,33.4744,26.7739,36.4424,33.1441,32.9537,36.9333,36.2282,32.8745,35.5764,29.126,33.1034,35.5256,34.2551,35.5595
05050007,33.8427,34.8559,33.0671,31.67,33.3104,30.9345,32.8886,30.5281,28.0753,36.2987,37.1449,30.7356,35.7496,29.8607,32.3348,32.4381,36.0554,33.1315,32.9549,28.3353,35.9834,32.4149,33.2979,36.2483,35.149,32.0561,33.5635,30.2111,31.9186,33.8982,32.2392,35.8494
05050008,32.8167,31.1274,31.8081,30.6706,30.311,30.0251,29.4154,27.8879,25.8425,36.176,35.505,28.8107,32.8638,29.1791,32.1473,31.1072,36.5002,32.3297,32.3034,25.6405,34.3714,29.6094,31.4542,35.8876,34.2293,29.8964,31.7625,26.0137,31.6227,33.5565,32.0316,34.0474
05050009,35.1722,34.4046,35.533,32.7879,33.9569,32.0923,33.5376,30.3968,30.5844,37.2243,37.5979,31.8424,35.9639,32.3951,33.8272,32.9431,38.0176,33.8326,34.1006,28.5266,36.5838,33.5898,33.7124,37.6829,36.7781,32.8995,36.6584,29.0517,34.0153,36.2094,35.5574,36.7775
05060001,28.6971,26.9334,22.8424,24.5946,23.7593,24.6754,25.933,24.4143,21.8225,29.8122,31.248,20.6532,29.0805,25.6527,24.048,29.5185,27.2842,25.846,27.2339,22.7063,28.9309,27.3393,26.8689,30.9997,29.6937,25.069,30.2371,24.9381,25.7369,26.8236,26.8099,30.8699
05060002,32.6908,29.421,27.6959,27.9346,27.1591,27.0716,26.3068,23.9716,25.5913,34.333,33.7476,25.2516,31.0787,26.1361,29.7493,29.6174,31.3134,28.9217,30.6507,23.6363,31.5553,30.176,30.0739,34.8162,31.6067,25.8849,30.8129,25.6789,27.1876,30.8953,30.255,33.6977
